chart_week|title|performer|peak_pos|wks_on_chart
1979-08-18|Good Times|Chic|1|10
1979-08-25|My Sharona|The Knack|1|10
1979-10-06|Sad Eyes|Robert John|1|21
1979-10-13|Don't Stop 'til You Get Enough|Michael Jackson|1|12
1979-10-20|Rise|Herb Alpert|1|13
1979-11-03|Pop Muzik|M|1|13
1979-11-10|Heartache Tonight|Eagles|1|6
1979-11-17|Still|Commodores|1|8
1979-11-24|No More Tears (Enough Is Enough)|Barbra Streisand/Donna Summer|1|6
1979-12-08|Babe|Styx|1|10
1979-12-22|Escape (The Pina Colada Song)|Rupert Holmes|1|10
1980-01-05|Please Don't Go|KC And The Sunshine Band|1|20
1980-01-19|Rock With You|Michael Jackson|1|12
1980-02-16|Do That To Me One More Time|Captain & Tennille|1|18
1980-02-23|Crazy Little Thing Called Love|Queen|1|10
1980-03-22|Another Brick In The Wall (Part II)|Pink Floyd|1|10
1980-04-19|Call Me|Blondie|1|10
1980-05-31|Funkytown|Lipps, Inc.|1|10
1980-06-28|Coming Up (Live At Glasgow)|Paul McCartney And Wings|1|10
1980-07-19|It's Still Rock And Roll To Me|Billy Joel|1|9
1980-08-02|Magic|Olivia Newton-John|1|11
1980-08-30|Sailing|Christopher Cross|1|12
1980-09-06|Upside Down|Diana Ross|1|9
1980-10-04|Another One Bites The Dust|Queen|1|8
1980-10-25|Woman In Love|Barbra Streisand|1|8
1980-11-15|Lady|Kenny Rogers|1|7
1980-12-27|(Just Like) Starting Over|John Lennon|1|9
1981-01-31|The Tide Is High|Blondie|1|12
1981-02-07|Celebration|Kool & The Gang|1|16
1981-02-21|9 To 5|Dolly Parton|1|13
1981-02-28|I Love A Rainy Night|Eddie Rabbitt|1|17
1981-03-21|Keep On Loving You|REO Speedwagon|1|17
1981-03-28|Rapture|Blondie|1|9
1981-04-11|Kiss On My List|Daryl Hall John Oates|1|12
1981-05-02|Morning Train (Nine To Five)|Sheena Easton|1|12
1981-05-16|Bette Davis Eyes|Kim Carnes|1|8
1981-06-20|Medley|Stars On 45|1|11
1981-07-25|The One That You Love|Air Supply|1|11
1981-08-01|Jessie's Girl|Rick Springfield|1|19
1981-08-15|Endless Love|Diana Ross & Lionel Richie|1|6
1981-10-17|Arthur's Theme (Best That You Can Do)|Christopher Cross|1|10
1981-11-07|Private Eyes|Daryl Hall John Oates|1|11
1981-11-21|Physical|Olivia Newton-John|1|8
1982-01-30|I Can't Go For That (No Can Do)|Daryl Hall John Oates|1|12
1982-02-06|Centerfold|The J. Geils Band|1|14
1982-03-20|I Love Rock 'N Roll|Joan Jett & the Blackhearts|1|7
1982-05-08|Chariots Of Fire - Titles|Vangelis|1|22
1982-05-15|Ebony And Ivory|Paul McCartney And Stevie Wonder|1|6
1982-07-03|Don't You Want Me|The Human League|1|18
1982-07-24|Eye Of The Tiger|Survivor|1|8
1982-09-04|Abracadabra|The Steve Miller Band|1|15
1982-09-11|Hard To Say I'm Sorry|Chicago|1|15
1982-10-02|Jack & Diane|John Cougar|1|11
1982-10-30|Who Can It Be Now?|Men At Work|1|17
1982-11-06|Up Where We Belong|Joe Cocker And Jennifer Warnes|1|12
1982-11-27|Truly|Lionel Richie|1|8
1982-12-11|Mickey|Toni Basil|1|15
1982-12-18|Maneater|Daryl Hall John Oates|1|10
1983-01-15|Down Under|Men At Work|1|11
1983-02-05|Africa|Toto|1|15
1983-02-19|Baby, Come To Me|Patti Austin A Duet With James Ingram|1|23
1983-03-05|Billie Jean|Michael Jackson|1|7
1983-04-23|Come On Eileen|Dexys Midnight Runners|1|14
1983-04-30|Beat It|Michael Jackson|1|10
1983-05-21|Let's Dance|David Bowie|1|9
1983-05-28|Flashdance...What A Feeling|Irene Cara|1|9
1983-07-09|Every Breath You Take|The Police|1|6
1983-09-03|Sweet Dreams (Are Made Of This)|Eurythmics|1|17
1983-09-10|Maniac|Michael Sembello|1|15
1983-09-24|Tell Her About It|Billy Joel|1|9
1983-10-01|Total Eclipse Of The Heart|Bonnie Tyler|1|12
1983-10-29|Islands In The Stream|Kenny Rogers Duet With Dolly Parton|1|10
1983-11-12|All Night Long (All Night)|Lionel Richie|1|9
1983-12-10|Say Say Say|Paul McCartney And Michael Jackson|1|9
1984-01-21|Owner Of A Lonely Heart|Yes|1|12
1984-02-04|Karma Chameleon|Culture Club|1|10
1984-02-25|Jump|Van Halen|1|7
1984-03-31|Footloose|Kenny Loggins|1|10
1984-04-21|Against All Odds (Take A Look At Me Now)|Phil Collins|1|9
1984-05-12|Hello|Lionel Richie|1|12
1984-05-26|Let's Hear It For The Boy|Deniece Williams|1|8
1984-06-09|Time After Time|Cyndi Lauper|1|9
1984-06-23|The Reflex|Duran Duran|1|10
1984-07-07|When Doves Cry|Prince|1|6
1984-08-11|Ghostbusters|Ray Parker Jr.|1|9
1984-09-01|What's Love Got To Do With It|Tina Turner|1|16
1984-09-22|Missing You|John Waite|1|14
1984-09-29|Let's Go Crazy|Prince And The Revolution|1|9
1984-10-13|I Just Called To Say I Love You|Stevie Wonder|1|9
1984-11-03|Caribbean Queen (No More Love On The Run)|Billy Ocean|1|13
1984-11-17|Wake Me Up Before You Go-Go|Wham!|1|11
1984-12-08|Out Of Touch|Daryl Hall John Oates|1|11
1984-12-22|Like A Virgin|Madonna|1|6
1985-02-02|I Want To Know What Love Is|Foreigner|1|9
1985-02-16|Careless Whisper|Wham! Featuring George Michael|1|9
1985-03-09|Can't Fight This Feeling|REO Speedwagon|1|8
1985-03-30|One More Night|Phil Collins|1|8
1985-04-13|We Are The World|USA For Africa|1|4
1985-05-11|Crazy For You|Madonna|1|11
1985-05-18|Don't You (Forget About Me)|Simple Minds|1|13
1985-05-25|Everything She Wants|Wham!|1|10
1985-06-08|Everybody Wants To Rule The World|Tears For Fears|1|13
1985-06-22|Heaven|Bryan Adams|1|10
1985-07-06|Sussudio|Phil Collins|1|9
1985-07-13|A View To A Kill|Duran Duran|1|9
1985-07-27|Everytime You Go Away|Paul Young|1|12
1985-08-03|Shout|Tears For Fears|1|8
1985-08-24|The Power Of Love|Huey Lewis & The News|1|9
1985-09-07|St. Elmo's Fire (Man In Motion)|John Parr|1|12
1985-09-21|Money For Nothing|Dire Straits|1|11
1985-10-12|Oh Sheila|Ready For The World|1|11
1985-10-19|Take On Me|a-ha|1|15
1985-10-26|Saving All My Love For You|Whitney Houston|1|11
1985-11-02|Part-Time Lover|Stevie Wonder|1|9
1985-11-09|Miami Vice Theme|Jan Hammer|1|10
1985-11-16|We Built This City|Starship|1|11
1985-11-30|Separate Lives|Phil Collins and Marilyn Martin|1|9
1985-12-07|Broken Wings|Mr. Mister|1|12
1985-12-21|Say You, Say Me|Lionel Richie|1|7
1986-01-18|That's What Friends Are For|Dionne & Friends|1|11
1986-02-15|How Will I Know|Whitney Houston|1|11
1986-03-01|Kyrie|Mr. Mister|1|11
1986-03-15|Sara|Starship|1|12
1986-03-22|These Dreams|Heart|1|10
1986-03-29|Rock Me Amadeus|Falco|1|8
1986-04-19|Kiss|Prince And The Revolution|1|9
1986-05-03|Addicted To Love|Robert Palmer|1|13
1986-05-10|West End Girls|Pet Shop Boys|1|11
1986-05-17|Greatest Love Of All|Whitney Houston|1|8
1986-06-07|Live To Tell|Madonna|1|9
1986-06-14|On My Own|Patti LaBelle & Michael McDonald|1|13
1986-07-05|There'll Be Sad Songs (To Make You Cry)|Billy Ocean|1|12
1986-07-12|Holding Back The Years|Simply Red|1|15
1986-07-19|Invisible Touch|Genesis|1|8
1986-07-26|Sledgehammer|Peter Gabriel|1|12
1986-08-02|Glory Of Love (Theme From "The Karate Kid Part II")|Peter Cetera|1|9
1986-08-16|Papa Don't Preach|Madonna|1|8
1986-08-30|Higher Love|Steve Winwood|1|12
1986-09-06|Venus|Bananarama|1|11
1986-09-13|Take My Breath Away (Love Theme From "Top Gun")|Berlin|1|13
1986-09-20|Stuck With You|Huey Lewis & The News|1|8
1986-10-11|When I Think Of You|Janet Jackson|1|10
1986-10-25|True Colors|Cyndi Lauper|1|9
1986-11-08|Amanda|Boston|1|7
1986-11-22|Human|The Human League|1|11
1986-11-29|You Give Love A Bad Name|Bon Jovi|1|13
1986-12-06|The Next Time I Fall|Peter Cetera With Amy Grant|1|12
1986-12-13|The Way It Is|Bruce Hornsby & The Range|1|13
1986-12-20|Walk Like An Egyptian|The Bangles|1|13
1987-01-17|Shake You Down|Gregory Abbott|1|14
1987-01-24|At This Moment|Billy Vera & The Beaters|1|12
1987-02-07|Open Your Heart|Madonna|1|10
1987-02-14|Livin' On A Prayer|Bon Jovi|1|10
1987-03-14|Jacob's Ladder|Huey Lewis & The News|1|9
1987-03-21|Lean On Me|Club Nouveau|1|6
1987-04-04|Nothing's Gonna Stop Us Now|Starship|1|10
1987-04-18|I Knew You Were Waiting (For Me)|Aretha Franklin & George Michael|1|9
1987-05-02|(I Just) Died In Your Arms|Cutting Crew|1|9
1987-05-16|With or Without You|U2|1|9
1987-06-06|You Keep Me Hangin' On|Kim Wilde|1|11
1987-06-13|Always|Atlantic Starr|1|12
1987-06-20|Head To Toe|Lisa Lisa And Cult Jam|1|11
1987-06-27|I Wanna Dance With Somebody (Who Loves Me)|Whitney Houston|1|7
1987-07-11|Alone|Heart|1|9
1987-08-01|Shakedown (From "Beverly Hills Cop II")|Bob Seger|1|11
1987-08-08|I Still Haven't Found What I'm Looking For|U2|1|9
1987-08-22|Who's That Girl|Madonna|1|7
1987-08-29|La Bamba|Los Lobos|1|10
1987-09-19|I Just Can't Stop Loving You|Michael Jackson With Siedah Garrett|1|7
1987-09-26|Didn't We Almost Have It All|Whitney Houston|1|9
1987-10-10|Here I Go Again|Whitesnake|1|15
1987-10-17|Lost In Emotion|Lisa Lisa And Cult Jam|1|12
1987-10-24|Bad|Michael Jackson|1|6
1987-11-07|I Think We're Alone Now|Tiffany|1|11
1987-11-21|Mony Mony|Billy Idol|1|12
1987-11-28|(I've Had) The Time Of My Life|Bill Medley & Jennifer Warnes|1|10
1987-12-05|Heaven Is A Place On Earth|Belinda Carlisle|1|11
1987-12-12|Faith|George Michael|1|8
1988-01-09|So Emotional|Whitney Houston|1|11
1988-01-16|Got My Mind Set On You|George Harrison|1|13
1988-01-23|The Way You Make Me Feel|Michael Jackson|1|10
1988-01-30|Need You Tonight|INXS|1|15
1988-02-06|Could've Been|Tiffany|1|11
1988-02-20|Seasons Change|Expose|1|13
1988-02-27|Father Figure|George Michael|1|7
1988-03-12|Never Gonna Give You Up|Rick Astley|1|13
1988-03-26|Man In The Mirror|Michael Jackson|1|8
1988-04-09|Get Outta My Dreams, Get Into My Car|Billy Ocean|1|9
1988-04-23|Where Do Broken Hearts Go|Whitney Houston|1|9
1988-05-07|Wishing Well|Terence Trent D'Arby|1|17
1988-05-14|Anything For You|Gloria Estefan & Miami Sound Machine|1|10
1988-05-28|One More Try|George Michael|1|7
1988-06-18|Together Forever|Rick Astley|1|10
1988-06-25|Foolish Beat|Debbie Gibson|1|10
1988-07-02|Dirty Diana|Michael Jackson|1|9
1988-07-09|The Flame|Cheap Trick|1|14
1988-07-23|Hold On To The Nights|Richard Marx|1|10
1988-07-30|Roll With It|Steve Winwood|1|8
1988-08-27|Monkey|George Michael|1|8
1988-09-10|Sweet Child O' Mine|Guns N' Roses|1|12
1988-09-24|Don't Worry, Be Happy (From "Cocktail")|Bobby McFerrin|1|9
1988-10-08|Love Bites|Def Leppard|1|9
1988-10-15|Red Red Wine|UB40|1|25
1988-10-22|Groovy Kind Of Love|Phil Collins|1|8
1988-11-05|Kokomo (From"Cocktail" )|The Beach Boys|1|10
1988-11-12|Wild, Wild West|The Escape Club|1|13
1988-11-19|Bad Medicine|Bon Jovi|1|9
1988-12-03|Baby, I Love Your Way/Freebird Medley|Will To Power|1|13
1988-12-10|Look Away|Chicago|1|12
1988-12-24|Every Rose Has Its Thorn|Poison|1|9
1989-01-14|My Prerogative|Bobby Brown|1|13
1989-01-21|Two Hearts|Phil Collins|1|10
1989-02-04|When I'm With You|Sheriff|1|18
1989-02-11|Straight Up|Paula Abdul|1|11
1989-03-04|Lost In Your Eyes|Debbie Gibson|1|7
1989-03-25|The Living Years|Mike + The Mechanics|1|12
1989-04-01|Eternal Flame|The Bangles|1|9
1989-04-08|The Look|Roxette|1|9
1989-04-15|She Drives Me Crazy|Fine Young Cannibals|1|12
1989-04-22|Like A Prayer|Madonna|1|6
1989-05-13|I'll Be There For You|Bon Jovi|1|11
1989-05-20|Forever Your Girl|Paula Abdul|1|11
1989-06-03|Rock On (From "Dream A Little Dream")|Michael Damian|1|12
1989-06-10|Wind Beneath My Wings (From "Beaches")|Bette Midler|1|15
1989-06-17|I'll Be Loving You (Forever)|New Kids On The Block|1|12
1989-06-24|Satisfied|Richard Marx|1|8
1989-07-01|Baby Don't Forget My Number|Milli Vanilli|1|10
1989-07-08|Good Thing|Fine Young Cannibals|1|10
1989-07-15|If You Don't Know Me By Now|Simply Red|1|11
1989-07-22|Toy Soldiers|Martika|1|10
1989-08-05|Batdance (From "Batman")|Prince|1|8
1989-08-12|Right Here Waiting|Richard Marx|1|6
1989-09-02|Cold Hearted|Paula Abdul|1|11
1989-09-09|Hangin' Tough|New Kids On The Block|1|9
1989-09-16|Don't Wanna Lose You|Gloria Estefan|1|11
1989-09-23|Girl I'm Gonna Miss You|Milli Vanilli|1|8
1989-10-07|Miss You Much|Janet Jackson|1|6
1989-11-04|Listen To Your Heart|Roxette|1|11
1989-11-11|When I See You Smile|Bad English|1|9
1989-11-25|Blame It On The Rain|Milli Vanilli|1|8
1989-12-09|We Didn't Start The Fire|Billy Joel|1|9
1989-12-23|Another Day In Paradise|Phil Collins|1|8
1990-01-20|How Am I Supposed To Live Without You|Michael Bolton|1|13
1990-02-10|Opposites Attract|Paula Abdul (Duet With The Wild Pair)|1|9
1990-03-03|Escapade|Janet Jackson|1|7
1990-03-24|Black Velvet|Alannah Myles|1|12
1990-04-07|Love Will Lead You Back|Taylor Dayne|1|11
1990-04-14|I'll Be Your Everything|Tommy Page|1|9
1990-04-21|Nothing Compares 2 U|Sinead O'Connor|1|6
1990-05-19|Vogue|Madonna|1|6
1990-06-09|Hold On|Wilson Phillips|1|13
1990-06-16|It Must Have Been Love (From "Pretty Woman")|Roxette|1|11
1990-06-30|Step By Step|New Kids On The Block|1|6
1990-07-21|She Ain't Worth It|Glenn Medeiros Featuring Bobby Brown|1|10
1990-08-04|Vision Of Love|Mariah Carey|1|10
1990-09-01|If Wishes Came True|Sweet Sensation|1|12
1990-09-08|Blaze Of Glory (From "Young Guns II")|Jon Bon Jovi|1|8
1990-09-15|Release Me|Wilson Phillips|1|12
1990-09-29|(Can't Live Without Your) Love And Affection|Nelson|1|13
1990-10-06|Close To You|Maxi Priest|1|15
1990-10-13|Praying For Time|George Michael|1|7
1990-10-20|I Don't Have The Heart|James Ingram|1|12
1990-10-27|Black Cat|Janet Jackson|1|7
1990-11-03|Ice Ice Baby|Vanilla Ice|1|9
1990-11-10|Love Takes Time|Mariah Carey|1|9
1990-12-01|I'm Your Baby Tonight|Whitney Houston|1|7
1990-12-08|Because I Love You (The Postman Song)|Stevie B|1|10
1991-01-05|Justify My Love|Madonna|1|8
1991-01-19|Love Will Never Do (Without You)|Janet Jackson|1|10
1991-01-26|The First Time|Surface|1|13
1991-02-09|Gonna Make You Sweat (Everybody Dance Now)|C+C Music Factory|1|13
1991-02-23|All The Man That I Need|Whitney Houston|1|10
1991-03-09|Someday|Mariah Carey|1|8
1991-03-23|One More Try|Timmy T.|1|14
1991-03-30|Coming Out Of The Dark|Gloria Estefan|1|10
1991-04-13|I've Been Thinking About You|Londonbeat|1|10
1991-04-20|You're In Love|Wilson Phillips|1|11
1991-04-27|Baby Baby|Amy Grant|1|10
1991-05-11|Joyride|Roxette|1|11
1991-05-18|I Like The Way (The Kissing Game)|Hi-Five|1|13
1991-05-25|I Don't Wanna Cry|Mariah Carey|1|8
1991-06-08|More Than Words|Extreme|1|12
1991-06-15|Rush Rush|Paula Abdul|1|6
1991-07-20|Unbelievable|EMF|1|15
1991-07-27|(Everything I Do) I Do It For You|Bryan Adams|1|5
1991-09-14|The Promise Of A New Day|Paula Abdul|1|9
1991-09-21|I Adore Mi Amor|Color Me Badd|1|9
1991-10-05|Good Vibrations|Marky Mark & The Funky Bunch Featuring Loleatta Holloway|1|12
1991-10-12|Emotions|Mariah Carey|1|7
1991-11-02|Romantic|Karyn White|1|12
1991-11-09|Cream|Prince And The N.P.G.|1|7
1991-11-23|When A Man Loves A Woman|Michael Bolton|1|7
1991-11-30|Set Adrift On Memory Bliss|P.M. Dawn|1|7
1991-12-07|Black Or White|Michael Jackson|1|3
1992-01-25|All 4 Love|Color Me Badd|1|12
1992-02-01|Don't Let The Sun Go Down On Me|George Michael/Elton John|1|9
1992-02-08|I'm Too Sexy|Right Said Fred|1|8
1992-02-29|To Be With You|Mr. Big|1|11
1992-03-21|Save The Best For Last|Vanessa Williams|1|8
1992-04-25|Jump|Kris Kross|1|4
1992-06-20|I'll Be There|Mariah Carey|1|4
1992-07-04|Baby Got Back|Sir Mix-A-Lot|1|13
1992-08-08|This Used To Be My Playground|Madonna|1|6
1992-08-15|End Of The Road (From "Boomerang")|Boyz II Men|1|5
1992-11-14|How Do You Talk To An Angel|The Heights|1|7
1992-11-28|I Will Always Love You|Whitney Houston|1|3
1993-03-06|A Whole New World (Aladdin's Theme)|Peabo Bryson & Regina Belle|1|12
1993-03-13|Informer|Snow|1|10
1993-05-01|Freak Me|Silk|1|11
1993-05-15|That's The Way Love Goes|Janet Jackson|1|3
1993-07-10|Weak|SWV|1|12
1993-07-24|Can't Help Falling In Love (From "Sliver")|UB40|1|11
1993-09-11|Dreamlover|Mariah Carey|1|6
1993-11-06|I'd Do Anything For Love (But I Won't Do That)|Meat Loaf|1|8
1993-12-11|Again|Janet Jackson|1|8
1993-12-25|Hero|Mariah Carey|1|10
1994-01-22|All For Love|Bryan Adams/Rod Stewart/Sting|1|9
1994-02-12|The Power Of Love|Celine Dion|1|12
1994-03-12|The Sign|Ace Of Base|1|11
1994-04-09|Bump N' Grind|R. Kelly|1|10
1994-05-21|I Swear|All-4-One|1|5
1994-08-06|Stay (I Missed You) (From "Reality Bites")|Lisa Loeb & Nine Stories|1|14
1994-08-27|I'll Make Love To You|Boyz II Men|1|3
1994-12-03|On Bended Knee|Boyz II Men|1|3
1994-12-17|Here Comes The Hotstepper (From "Ready To Wear")|Ini Kamoze|1|14
1995-01-28|Creep|TLC|1|12
1995-02-25|Take A Bow|Madonna|1|11
1995-04-15|This Is How We Do It|Montell Jordan|1|8
1995-06-03|Have You Ever Really Loved A Woman?|Bryan Adams|1|8
1995-07-08|Waterfalls|TLC|1|5
1995-08-26|Kiss From A Rose|Seal|1|10
1995-09-02|You Are Not Alone|Michael Jackson|1|1
1995-09-09|Gangsta's Paradise (From "Dangerous Minds")|Coolio Featuring L.V.|1|4
1995-09-30|Fantasy|Mariah Carey|1|1
1995-11-25|Exhale (Shoop Shoop) (From "Waiting To Exhale")|Whitney Houston|1|1
1995-12-02|One Sweet Day|Mariah Carey & Boyz II Men|1|1
1996-03-23|Because You Loved Me (From "Up Close & Personal")|Celine Dion|1|3
1996-05-04|Always Be My Baby|Mariah Carey|1|5
1996-05-18|Tha Crossroads|Bone Thugs-N-Harmony|1|2
1996-07-13|How Do U Want It/California Love|2Pac Featuring K-Ci And JoJo|1|5
1996-07-27|You're Makin' Me High/Let It Flow|Toni Braxton|1|8
1996-08-03|Macarena (Bayside Boys Mix)|Los Del Rio|1|33
1996-11-09|No Diggity|BLACKstreet (Featuring Dr. Dre)|1|5
1996-12-07|Un-Break My Heart|Toni Braxton|1|7
1997-02-22|Wannabe|Spice Girls|1|5
1997-03-22|Can't Nobody Hold Me Down|Puff Daddy (Featuring Mase)|1|9
1997-05-03|Hypnotize|The Notorious B.I.G.|1|2
1997-05-24|MMMBop|Hanson|1|4
1997-06-14|I'll Be Missing You|Puff Daddy & Faith Evans Featuring 112|1|1
1997-08-30|Mo Money Mo Problems|The Notorious B.I.G. Featuring Puff Daddy & Mase|1|5
1997-09-13|Honey|Mariah Carey|1|1
1997-10-04|4 Seasons Of Loneliness|Boyz II Men|1|2
1997-10-11|Candle In The Wind 1997/Something About The Way You Look Tonight|Elton John|1|1
1998-01-17|Truly Madly Deeply|Savage Garden|1|7
1998-01-31|Together Again|Janet|1|7
1998-02-14|Nice & Slow|Usher|1|4
1998-02-28|My Heart Will Go On|Celine Dion|1|1
1998-03-14|Gettin' Jiggy Wit It|Will Smith|1|3
1998-04-04|All My Life|K-Ci & JoJo|1|2
1998-04-25|Too Close|Next|1|11
1998-05-23|My All|Mariah Carey|1|3
1998-06-06|The Boy Is Mine|Brandy & Monica|1|2
1998-09-05|I Don't Want To Miss A Thing|Aerosmith|1|1
1998-10-03|The First Night|Monica|1|8
1998-10-17|One Week|Barenaked Ladies|1|3
1998-11-14|Doo Wop (That Thing)|Lauryn Hill|1|1
1998-11-28|Lately|Divine|1|12
1998-12-05|I'm Your Angel|R. Kelly & Celine Dion|1|1
1999-01-16|Have You Ever?|Brandy|1|7
1999-01-30|...Baby One More Time|Britney Spears|1|11
1999-02-13|Angel Of Mine|Monica|1|11
1999-03-13|Believe|Cher|1|13
1999-04-10|No Scrubs|TLC|1|8
1999-05-08|Livin' La Vida Loca|Ricky Martin|1|4
1999-06-12|If You Had My Love|Jennifer Lopez|1|5
1999-07-17|Bills, Bills, Bills|Destiny's Child|1|5
1999-07-24|Wild Wild West|Will Smith Featuring Dru Hill & Kool Mo Dee|1|10
1999-07-31|Genie In A Bottle|Christina Aguilera|1|5
1999-09-04|Bailamos|Enrique Iglesias|1|9
1999-09-18|Unpretty|TLC|1|13
1999-10-09|Heartbreaker|Mariah Carey Featuring Jay-Z|1|6
1999-10-23|Smooth|Santana Featuring Rob Thomas|1|13
2000-01-15|What A Girl Wants|Christina Aguilera|1|8
2000-01-29|I Knew I Loved You|Savage Garden|1|15
2000-02-19|Thank God I Found You|Mariah Carey Featuring Joe & 98 Degrees|1|11
2000-03-04|Amazed|Lonestar|1|31
2000-03-18|Say My Name|Destiny's Child|1|13
2000-04-08|Maria Maria|Santana Featuring The Product G&B|1|9
2000-06-17|Try Again|Aaliyah|1|14
2000-06-24|Be With You|Enrique Iglesias|1|13
2000-07-15|Everything You Want|Vertical Horizon|1|26
2000-07-22|Bent|matchbox twenty|1|13
2000-07-29|It's Gonna Be Me|'N Sync|1|13
2000-08-12|Incomplete|Sisqo|1|8
2000-08-26|Doesn't Really Matter|Janet|1|11
2000-09-16|Music|Madonna|1|6
2000-10-14|Come On Over Baby (All I Want Is You)|Christina Aguilera|1|11
2000-11-11|With Arms Wide Open|Creed|1|27
2000-11-18|Independent Women Part I|Destiny's Child|1|9
2001-02-03|It Wasn't Me|Shaggy Feat. Ricardo "RikRok" Ducent|1|14
2001-02-17|Ms. Jackson|OutKast|1|15
2001-02-24|Stutter|Joe Featuring Mystikal|1|8
2001-03-24|Butterfly|Crazy Town|1|12
2001-03-31|Angel|Shaggy Featuring Rayvon|1|14
2001-04-14|All For You|Janet|1|5
2001-06-02|Lady Marmalade|Christina Aguilera, Lil' Kim, Mya & P!nk|1|8
2001-07-07|U Remind Me|Usher|1|4
2001-08-04|Bootylicious|Destiny's Child|1|9
2001-08-18|Fallin'|Alicia Keys|1|10
2001-09-08|I'm Real|Jennifer Lopez Featuring Ja Rule|1|10
2001-11-03|Family Affair|Mary J. Blige|1|15
2001-12-15|U Got It Bad|Usher|1|13
2001-12-22|How You Remind Me|Nickelback|1|16
2002-02-23|Always On Time|Ja Rule Featuring Ashanti|1|15
2002-03-09|Ain't It Funny|Jennifer Lopez Featuring Ja Rule|1|11
2002-04-20|Foolish|Ashanti|1|10
2002-06-29|Hot In Herre|Nelly|1|9
2002-08-17|Dilemma|Nelly Featuring Kelly Rowland|1|6
2002-10-05|A Moment Like This|Kelly Clarkson|1|3
2002-11-09|Lose Yourself|Eminem|1|6
2003-02-01|Bump, Bump, Bump|B2K & P. Diddy|1|10
2003-02-08|All I Have|Jennifer Lopez Featuring LL Cool J|1|7
2003-03-08|In Da Club|50 Cent|1|9
2003-05-10|Get Busy|Sean Paul|1|12
2003-05-31|21 Questions|50 Cent Featuring Nate Dogg|1|11
2003-06-28|This Is The Night|Clay Aiken|1|1
2003-07-12|Crazy In Love|Beyonce Featuring Jay Z|1|8
2003-09-06|Shake Ya Tailfeather|Nelly, P. Diddy & Murphy Lee|1|11
2003-10-04|Baby Boy|Beyonce Featuring Sean Paul|1|8
2003-12-06|Stand Up|Ludacris Featuring Shawnna|1|14
2003-12-13|Hey Ya!|OutKast|1|9
2004-02-14|The Way You Move|OutKast Featuring Sleepy Brown|1|21
2004-02-21|Slow Jamz|Twista Featuring Kanye West & Jamie Foxx|1|12
2004-02-28|Yeah!|Usher Featuring Lil Jon & Ludacris|1|8
2004-05-22|Burn|Usher|1|11
2004-07-10|I Believe|Fantasia|1|1
2004-07-24|Confessions Part II|Usher|1|13
2004-08-07|Slow Motion|Juvenile Featuring Soulja Slim|1|15
2004-08-21|Lean Back|Terror Squad|1|9
2004-09-11|Goodies|Ciara Featuring Petey Pablo|1|12
2004-10-30|My Boo|Usher And Alicia Keys|1|8
2004-12-11|Drop It Like It's Hot|Snoop Dogg Featuring Pharrell|1|11
2005-01-01|Let Me Love You|Mario|1|11
2005-03-05|Candy Shop|50 Cent Featuring Olivia|1|5
2005-05-07|Hollaback Girl|Gwen Stefani|1|6
2005-06-04|We Belong Together|Mariah Carey|1|8
2005-07-02|Inside Your Heaven|Carrie Underwood|1|1
2005-09-17|Gold Digger|Kanye West Featuring Jamie Foxx|1|8
2005-11-26|Run It!|Chris Brown|1|14
2005-12-31|Don't Forget About Us|Mariah Carey|1|11
2006-01-14|Laffy Taffy|D4L|1|16
2006-01-21|Grillz|Nelly Featuring Paul Wall, Ali & Gipp|1|10
2006-02-04|Check On It|Beyonce Featuring Slim Thug|1|12
2006-03-11|You're Beautiful|James Blunt|1|18
2006-03-18|So Sick|Ne-Yo|1|15
2006-04-01|Temperature|Sean Paul|1|11
2006-04-08|Bad Day|Daniel Powter|1|7
2006-05-13|SOS|Rihanna|1|12
2006-06-03|Ridin'|Chamillionaire Featuring Krayzie Bone|1|14
2006-06-17|Hips Don't Lie|Shakira Featuring Wyclef Jean|1|12
2006-07-01|Do I Make You Proud|Taylor Hicks|1|1
2006-07-08|Promiscuous|Nelly Furtado Featuring Timbaland|1|8
2006-08-19|London Bridge|Fergie|1|3
2006-09-09|SexyBack|Justin Timberlake|1|8
2006-10-28|Money Maker|Ludacris Featuring Pharrell|1|10
2006-11-11|My Love|Justin Timberlake Featuring T.I.|1|8
2006-12-02|I Wanna Love You|Akon Featuring Snoop Dogg|1|8
2006-12-16|Irreplaceable|Beyonce|1|7
2007-02-24|Say It Right|Nelly Furtado|1|14
2007-03-03|What Goes Around...Comes Around|Justin Timberlake|1|11
2007-03-10|This Is Why I'm Hot|Mims|1|6
2007-03-24|Glamorous|Fergie Featuring Ludacris|1|9
2007-04-07|Don't Matter|Akon|1|10
2007-04-21|Give It To Me|Timbaland Featuring Nelly Furtado & Justin Timberlake|1|9
2007-05-05|Girlfriend|Avril Lavigne|1|8
2007-05-12|Makes Me Wonder|Maroon 5|1|4
2007-05-26|Buy U A Drank (Shawty Snappin')|T-Pain Featuring Yung Joc|1|12
2007-06-09|Umbrella|Rihanna Featuring Jay-Z|1|7
2007-07-28|Hey There Delilah|Plain White T's|1|16
2007-08-11|Beautiful Girls|Sean Kingston|1|10
2007-09-08|Big Girls Don't Cry|Fergie|1|19
2007-09-15|Crank That (Soulja Boy)|Soulja Boy Tell'em|1|8
2007-09-29|Stronger|Kanye West|1|8
